word,sense,n_insts,acc
case,case.n.01,13,1.000000
case,event.n.02,7,0.000000
case,ALL,20,0.650000
face,confront.v.01,7,0.000000
face,confront.v.02,11,0.000000
face,face.n.01,20,0.650000
face,face.n.03,4,0.750000
face,ALL,42,0.380952
form,form.n.01,19,1.000000
form,form.n.03,8,1.000000
form,form.v.01,5,0.800000
form,form.v.02,5,1.000000
form,kind.n.01,12,0.000000
form,ALL,49,0.734694
head,head.n.01,20,0.950000
head,head.n.02,4,1.000000
head,head.v.01,6,1.000000
head,ALL,30,0.966667
interest,interest.n.01,12,0.916667
interest,interest.n.03,4,0.500000
interest,sake.n.01,6,0.000000
interest,ALL,22,0.590909
life,animation.n.01,5,0.000000
life,life.n.01,13,0.923077
life,life.n.02,10,1.000000
life,life.n.03,8,0.875000
life,ALL,36,0.805556
light,light.n.01,7,0.857143
light,light.n.02,5,0.800000
light,ALL,12,0.833333
matter,matter.n.01,6,1.000000
matter,topic.n.02,6,0.000000
matter,ALL,12,0.500000
point,point.n.01,11,1.000000
point,point.n.03,4,1.000000
point,ALL,15,1.000000
state,state.n.01,20,0.800000
state,state.n.02,7,0.857143
state,state.n.03,5,0.600000
state,state.n.04,4,1.000000
state,state.v.01,15,1.000000
state,ALL,51,0.862745
time,time.n.01,20,0.650000
time,time.n.02,20,0.850000
time,time.n.03,16,0.875000
time,time.n.04,7,0.571429
time,time.n.05,7,0.428571
time,ALL,70,0.728571
way,direction.n.01,5,0.000000
way,manner.n.01,20,0.000000
way,means.n.01,12,0.000000
way,way.n.04,4,1.000000
way,ALL,41,0.097561
work,employment.n.02,5,0.000000
work,function.v.01,4,0.000000
work,work.n.01,17,0.823529
work,work.n.02,15,0.866667
work,work.v.01,14,0.714286
work,work.v.02,13,0.615385
work,work.v.03,7,1.000000
work,ALL,75,0.693333
